date,county,policies
2016-06-30,Miami-Dade,76163
2016-06-30,Pinellas,53114
2016-06-30,Broward,44519
2016-06-30,Hillsborough,17601
2016-06-30,Palm Beach,21435
2016-06-30,Hernando,13335
2016-06-30,Pasco,16280
2016-06-30,Brevard,5279
2016-06-30,Manatee,5273
2016-06-30,Sarasota,4630
2016-06-30,Lee,5928
2016-06-30,Charlotte,2960
2016-06-30,Collier,2318
2016-06-30,Saint Lucie,2116
2016-06-30,Orange,1987
2016-06-30,Volusia,1798
2016-06-30,Duval,1655
2016-06-30,Martin,1656
2016-06-30,Bay,1685
2016-06-30,Escambia,1209
2016-06-30,Polk,1727
2016-06-30,Citrus,1955
2016-06-30,Indian River,1102
2016-06-30,Okaloosa,875
2016-06-30,Marion,1606
2016-06-30,Alachua,1014
2016-06-30,Saint Johns,887
2016-06-30,Santa Rosa,1284
2016-06-30,Lake,1417
2016-06-30,Seminole,642
2016-06-30,Osceola,770
2016-06-30,Leon,742
2016-06-30,Clay,640
2016-06-30,Nassau,552
2016-06-30,Levy,740
2016-06-30,Putnam,690
2016-06-30,Walton,451
2016-06-30,Taylor,383
2016-06-30,Gadsden,291
2016-06-30,Monroe,271
2016-06-30,Highlands,397
2016-06-30,Hendry,255
2016-06-30,Jackson,263
2016-06-30,Columbia,345
2016-06-30,Gilchrist,380
2016-06-30,Dixie,352
2016-06-30,Sumter,319
2016-06-30,Suwannee,305
2016-06-30,Wakulla,229
2016-06-30,Flagler,174
2016-06-30,Bradford,173
2016-06-30,DeSoto,175
2016-06-30,Madison,145
2016-06-30,Baker,202
2016-06-30,Okeechobee,184
2016-06-30,Jefferson,144
2016-06-30,Franklin,124
2016-06-30,Washington,163
2016-06-30,Gulf,98
2016-06-30,Glades,92
2016-06-30,Holmes,73
2016-06-30,Calhoun,79
2016-06-30,Hardee,90
2016-06-30,Hamilton,58
2016-06-30,Lafayette,58
2016-06-30,Liberty,61
2016-06-30,Union,44
2016-12-31,Miami-Dade,74073
2016-12-31,Pinellas,50988
2016-12-31,Broward,44414
2016-12-31,Hillsborough,16964
2016-12-31,Palm Beach,20248
2016-12-31,Hernando,12808
2016-12-31,Pasco,15192
2016-12-31,Brevard,5265
2016-12-31,Manatee,5087
2016-12-31,Sarasota,4408
2016-12-31,Lee,5638
2016-12-31,Charlotte,2815
2016-12-31,Saint Lucie,2124
2016-12-31,Collier,2033
2016-12-31,Volusia,1717
2016-12-31,Duval,1474
2016-12-31,Martin,1571
2016-12-31,Orange,1472
2016-12-31,Bay,1694
2016-12-31,Citrus,1972
2016-12-31,Escambia,1115
2016-12-31,Indian River,1073
2016-12-31,Polk,1580
2016-12-31,Saint Johns,894
2016-12-31,Alachua,918
2016-12-31,Okaloosa,777
2016-12-31,Marion,1473
2016-12-31,Lake,1453
2016-12-31,Santa Rosa,1177
2016-12-31,Seminole,551
2016-12-31,Leon,658
2016-12-31,Osceola,651
2016-12-31,Clay,634
2016-12-31,Nassau,541
2016-12-31,Levy,748
2016-12-31,Putnam,664
2016-12-31,Walton,437
2016-12-31,Taylor,385
2016-12-31,Gadsden,287
2016-12-31,Monroe,264
2016-12-31,Highlands,369
2016-12-31,Hendry,243
2016-12-31,Dixie,369
2016-12-31,Jackson,248
2016-12-31,Columbia,331
2016-12-31,Gilchrist,368
2016-12-31,Sumter,302
2016-12-31,Suwannee,299
2016-12-31,Wakulla,228
2016-12-31,Bradford,177
2016-12-31,Franklin,132
2016-12-31,Flagler,163
2016-12-31,Madison,143
2016-12-31,Jefferson,146
2016-12-31,Baker,212
2016-12-31,DeSoto,163
2016-12-31,Okeechobee,173
2016-12-31,Washington,153
2016-12-31,Gulf,104
2016-12-31,Holmes,72
2016-12-31,Glades,92
2016-12-31,Calhoun,84
2016-12-31,Hardee,90
2016-12-31,Lafayette,55
2016-12-31,Union,48
2016-12-31,Liberty,67
2016-12-31,Hamilton,50
2017-06-30,Miami-Dade,75091
2017-06-30,Pinellas,52205
2017-06-30,Broward,45277
2017-06-30,Hillsborough,17540
2017-06-30,Palm Beach,20231
2017-06-30,Hernando,12630
2017-06-30,Pasco,14888
2017-06-30,Brevard,5710
2017-06-30,Manatee,5193
2017-06-30,Sarasota,4453
2017-06-30,Lee,5880
2017-06-30,Charlotte,3035
2017-06-30,Saint Lucie,2207
2017-06-30,Collier,2060
2017-06-30,Volusia,1790
2017-06-30,Duval,1535
2017-06-30,Orange,1546
2017-06-30,Martin,1523
2017-06-30,Citrus,2069
2017-06-30,Bay,1739
2017-06-30,Escambia,1114
2017-06-30,Polk,1587
2017-06-30,Indian River,1157
2017-06-30,Saint Johns,938
2017-06-30,Lake,1568
2017-06-30,Okaloosa,810
2017-06-30,Alachua,907
2017-06-30,Marion,1435
2017-06-30,Seminole,541
2017-06-30,Santa Rosa,1142
2017-06-30,Osceola,659
2017-06-30,Leon,654
2017-06-30,Clay,640
2017-06-30,Nassau,549
2017-06-30,Levy,773
2017-06-30,Putnam,663
2017-06-30,Walton,431
2017-06-30,Taylor,405
2017-06-30,Gadsden,285
2017-06-30,Monroe,260
2017-06-30,Highlands,370
2017-06-30,Jackson,263
2017-06-30,Hendry,250
2017-06-30,Dixie,373
2017-06-30,Columbia,331
2017-06-30,Gilchrist,372
2017-06-30,Sumter,311
2017-06-30,Flagler,173
2017-06-30,Suwannee,288
2017-06-30,Wakulla,231
2017-06-30,Baker,227
2017-06-30,Jefferson,156
2017-06-30,Bradford,182
2017-06-30,DeSoto,159
2017-06-30,Franklin,132
2017-06-30,Okeechobee,172
2017-06-30,Madison,133
2017-06-30,Washington,156
2017-06-30,Gulf,112
2017-06-30,Glades,94
2017-06-30,Calhoun,89
2017-06-30,Holmes,67
2017-06-30,Hardee,92
2017-06-30,Lafayette,59
2017-06-30,Liberty,65
2017-06-30,Union,48
2017-06-30,Hamilton,47
2017-12-31,Miami-Dade,76809
2017-12-31,Pinellas,51092
2017-12-31,Broward,46972
2017-12-31,Hillsborough,18050
2017-12-31,Palm Beach,20328
2017-12-31,Hernando,12405
2017-12-31,Pasco,14278
2017-12-31,Brevard,5962
2017-12-31,Manatee,5214
2017-12-31,Sarasota,4434
2017-12-31,Lee,5774
2017-12-31,Charlotte,3157
2017-12-31,Saint Lucie,2239
2017-12-31,Volusia,1893
2017-12-31,Collier,1890
2017-12-31,Orange,1574
2017-12-31,Duval,1582
2017-12-31,Martin,1427
2017-12-31,Citrus,2144
2017-12-31,Bay,1751
2017-12-31,Polk,1595
2017-12-31,Escambia,1084
2017-12-31,Indian River,1160
2017-12-31,Saint Johns,929
2017-12-31,Lake,1589
2017-12-31,Marion,1468
2017-12-31,Alachua,905
2017-12-31,Okaloosa,786
2017-12-31,Seminole,558
2017-12-31,Osceola,644
2017-12-31,Santa Rosa,1145
2017-12-31,Leon,634
2017-12-31,Clay,655
2017-12-31,Nassau,556
2017-12-31,Levy,774
2017-12-31,Putnam,663
2017-12-31,Walton,431
2017-12-31,Gadsden,302
2017-12-31,Taylor,406
2017-12-31,Highlands,364
2017-12-31,Monroe,250
2017-12-31,Jackson,253
2017-12-31,Dixie,389
2017-12-31,Hendry,249
2017-12-31,Columbia,329
2017-12-31,Gilchrist,376
2017-12-31,Sumter,310
2017-12-31,Suwannee,282
2017-12-31,Flagler,172
2017-12-31,DeSoto,169
2017-12-31,Wakulla,232
2017-12-31,Bradford,198
2017-12-31,Jefferson,158
2017-12-31,Okeechobee,178
2017-12-31,Baker,225
2017-12-31,Franklin,134
2017-12-31,Washington,155
2017-12-31,Madison,128
2017-12-31,Gulf,119
2017-12-31,Glades,97
2017-12-31,Calhoun,87
2017-12-31,Holmes,68
2017-12-31,Hardee,91
2017-12-31,Union,58
2017-12-31,Lafayette,62
2017-12-31,Liberty,69
2017-12-31,Hamilton,46
2018-06-30,Miami-Dade,78323
2018-06-30,Pinellas,52225
2018-06-30,Broward,50132
2018-06-30,Hillsborough,18796
2018-06-30,Palm Beach,20836
2018-06-30,Hernando,12471
2018-06-30,Pasco,14071
2018-06-30,Brevard,6367
2018-06-30,Manatee,5291
2018-06-30,Sarasota,4447
2018-06-30,Lee,5986
2018-06-30,Charlotte,3348
2018-06-30,Saint Lucie,2286
2018-06-30,Volusia,1983
2018-06-30,Orange,1669
2018-06-30,Collier,1947
2018-06-30,Duval,1642
2018-06-30,Citrus,2245
2018-06-30,Martin,1436
2018-06-30,Bay,1775
2018-06-30,Polk,1577
2018-06-30,Indian River,1248
2018-06-30,Escambia,1096
2018-06-30,Saint Johns,927
2018-06-30,Lake,1701
2018-06-30,Marion,1451
2018-06-30,Alachua,916
2018-06-30,Seminole,583
2018-06-30,Okaloosa,784
2018-06-30,Osceola,640
2018-06-30,Santa Rosa,1136
2018-06-30,Leon,628
2018-06-30,Clay,678
2018-06-30,Nassau,548
2018-06-30,Levy,791
2018-06-30,Gadsden,311
2018-06-30,Putnam,639
2018-06-30,Walton,432
2018-06-30,Taylor,432
2018-06-30,Highlands,374
2018-06-30,Hendry,261
2018-06-30,Monroe,242
2018-06-30,Jackson,250
2018-06-30,Dixie,393
2018-06-30,Sumter,325
2018-06-30,Columbia,323
2018-06-30,Gilchrist,376
2018-06-30,Flagler,180
2018-06-30,Suwannee,278
2018-06-30,DeSoto,183
2018-06-30,Wakulla,238
2018-06-30,Okeechobee,175
2018-06-30,Bradford,200
2018-06-30,Baker,230
2018-06-30,Franklin,141
2018-06-30,Jefferson,157
2018-06-30,Washington,153
2018-06-30,Madison,128
2018-06-30,Gulf,116
2018-06-30,Glades,95
2018-06-30,Holmes,69
2018-06-30,Calhoun,87
2018-06-30,Hardee,91
2018-06-30,Union,58
2018-06-30,Lafayette,66
2018-06-30,Liberty,65
2018-06-30,Hamilton,43
2018-12-31,Miami-Dade,74969
2018-12-31,Pinellas,52296
2018-12-31,Broward,49647
2018-12-31,Hillsborough,19136
2018-12-31,Palm Beach,19845
2018-12-31,Hernando,12460
2018-12-31,Pasco,13793
2018-12-31,Brevard,6465
2018-12-31,Manatee,5251
2018-12-31,Sarasota,4347
2018-12-31,Lee,5893
2018-12-31,Charlotte,3376
2018-12-31,Saint Lucie,2293
2018-12-31,Volusia,2063
2018-12-31,Orange,1677
2018-12-31,Collier,1875
2018-12-31,Duval,1591
2018-12-31,Citrus,2312
2018-12-31,Martin,1384
2018-12-31,Bay,1798
2018-12-31,Polk,1569
2018-12-31,Indian River,1264
2018-12-31,Lake,1730
2018-12-31,Saint Johns,947
2018-12-31,Marion,1461
2018-12-31,Escambia,1065
2018-12-31,Alachua,909
2018-12-31,Seminole,597
2018-12-31,Okaloosa,799
2018-12-31,Osceola,643
2018-12-31,Leon,665
2018-12-31,Santa Rosa,1126
2018-12-31,Clay,693
2018-12-31,Nassau,550
2018-12-31,Levy,809
2018-12-31,Gadsden,323
2018-12-31,Putnam,629
2018-12-31,Taylor,469
2018-12-31,Walton,440
2018-12-31,Highlands,386
2018-12-31,Jackson,262
2018-12-31,Dixie,396
2018-12-31,Sumter,318
2018-12-31,Columbia,338
2018-12-31,Hendry,252
2018-12-31,Monroe,230
2018-12-31,Gilchrist,376
2018-12-31,Flagler,196
2018-12-31,DeSoto,186
2018-12-31,Suwannee,278
2018-12-31,Wakulla,245
2018-12-31,Bradford,208
2018-12-31,Baker,250
2018-12-31,Okeechobee,162
2018-12-31,Jefferson,162
2018-12-31,Franklin,142
2018-12-31,Washington,156
2018-12-31,Madison,129
2018-12-31,Glades,93
2018-12-31,Gulf,113
2018-12-31,Holmes,77
2018-12-31,Calhoun,84
2018-12-31,Hardee,85
2018-12-31,Lafayette,64
2018-12-31,Union,54
2018-12-31,Liberty,64
2018-12-31,Hamilton,42
2019-03-31,Miami-Dade,73127
2019-03-31,Pinellas,52352
2019-03-31,Broward,49152
2019-03-31,Hillsborough,19173
2019-03-31,Palm Beach,19240
2019-03-31,Hernando,12451
2019-03-31,Pasco,13622
2019-03-31,Brevard,6506
2019-03-31,Manatee,5191
2019-03-31,Sarasota,4269
2019-03-31,Lee,5835
2019-03-31,Charlotte,3401
2019-03-31,Saint Lucie,2246
2019-03-31,Volusia,2089
2019-03-31,Orange,1644
2019-03-31,Collier,1875
2019-03-31,Duval,1605
2019-03-31,Citrus,2321
2019-03-31,Martin,1352
2019-03-31,Bay,1627
2019-03-31,Polk,1508
2019-03-31,Indian River,1275
2019-03-31,Lake,1709
2019-03-31,Saint Johns,947
2019-03-31,Marion,1436
2019-03-31,Escambia,1056
2019-03-31,Seminole,608
2019-03-31,Alachua,883
2019-03-31,Okaloosa,804
2019-03-31,Osceola,623
2019-03-31,Leon,650
2019-03-31,Santa Rosa,1111
2019-03-31,Clay,689
2019-03-31,Nassau,547
2019-03-31,Levy,801
2019-03-31,Putnam,627
2019-03-31,Gadsden,316
2019-03-31,Taylor,465
2019-03-31,Walton,444
2019-03-31,Highlands,383
2019-03-31,Jackson,247
2019-03-31,Dixie,396
2019-03-31,Sumter,313
2019-03-31,Columbia,327
2019-03-31,Hendry,239
2019-03-31,Gilchrist,371
2019-03-31,Monroe,219
2019-03-31,Flagler,199
2019-03-31,DeSoto,183
2019-03-31,Suwannee,273
2019-03-31,Wakulla,240
2019-03-31,Bradford,208
2019-03-31,Baker,254
2019-03-31,Okeechobee,157
2019-03-31,Jefferson,158
2019-03-31,Franklin,132
2019-03-31,Washington,146
2019-03-31,Madison,124
2019-03-31,Glades,88
2019-03-31,Gulf,99
2019-03-31,Hardee,83
2019-03-31,Calhoun,71
2019-03-31,Holmes,73
2019-03-31,Union,56
2019-03-31,Lafayette,65
2019-03-31,Hamilton,45
2019-03-31,Liberty,60
2019-06-30,Miami-Dade,72192
2019-06-30,Pinellas,52868
2019-06-30,Broward,49752
2019-06-30,Hillsborough,19470
2019-06-30,Palm Beach,19505
2019-06-30,Hernando,12504
2019-06-30,Pasco,13620
2019-06-30,Brevard,6651
2019-06-30,Manatee,5221
2019-06-30,Sarasota,4277
2019-06-30,Lee,6048
2019-06-30,Charlotte,3452
2019-06-30,Saint Lucie,2262
2019-06-30,Volusia,2152
2019-06-30,Orange,1690
2019-06-30,Collier,1922
2019-06-30,Duval,1619
2019-06-30,Citrus,2358
2019-06-30,Martin,1356
2019-06-30,Polk,1494
2019-06-30,Bay,1581
2019-06-30,Indian River,1293
2019-06-30,Saint Johns,965
2019-06-30,Lake,1696
2019-06-30,Marion,1439
2019-06-30,Escambia,1039
2019-06-30,Seminole,619
2019-06-30,Alachua,867
2019-06-30,Okaloosa,803
2019-06-30,Osceola,633
2019-06-30,Leon,662
2019-06-30,Santa Rosa,1067
2019-06-30,Clay,680
2019-06-30,Nassau,551
2019-06-30,Levy,793
2019-06-30,Gadsden,320
2019-06-30,Taylor,491
2019-06-30,Putnam,616
2019-06-30,Walton,448
2019-06-30,Highlands,393
2019-06-30,Jackson,250
2019-06-30,Dixie,402
2019-06-30,Hendry,252
2019-06-30,Sumter,309
2019-06-30,Columbia,324
2019-06-30,Monroe,221
2019-06-30,Flagler,199
2019-06-30,Gilchrist,363
2019-06-30,DeSoto,183
2019-06-30,Wakulla,246
2019-06-30,Suwannee,270
2019-06-30,Bradford,203
2019-06-30,Baker,254
2019-06-30,Okeechobee,159
2019-06-30,Jefferson,157
2019-06-30,Franklin,137
2019-06-30,Washington,149
2019-06-30,Madison,124
2019-06-30,Glades,87
2019-06-30,Gulf,103
2019-06-30,Holmes,75
2019-06-30,Hardee,81
2019-06-30,Calhoun,66
2019-06-30,Lafayette,68
2019-06-30,Union,56
2019-06-30,Liberty,66
2019-06-30,Hamilton,45
2019-09-30,Miami-Dade,72604
2019-09-30,Pinellas,52131
2019-09-30,Broward,50804
2019-09-30,Hillsborough,19277
2019-09-30,Palm Beach,19511
2019-09-30,Hernando,12510
2019-09-30,Pasco,13524
2019-09-30,Brevard,6717
2019-09-30,Manatee,5248
2019-09-30,Sarasota,4277
2019-09-30,Lee,6115
2019-09-30,Charlotte,3453
2019-09-30,Saint Lucie,2271
2019-09-30,Volusia,2184
2019-09-30,Orange,1740
2019-09-30,Collier,1951
2019-09-30,Duval,1603
2019-09-30,Citrus,2389
2019-09-30,Martin,1357
2019-09-30,Polk,1495
2019-09-30,Bay,1568
2019-09-30,Indian River,1339
2019-09-30,Saint Johns,998
2019-09-30,Lake,1693
2019-09-30,Marion,1416
2019-09-30,Seminole,616
2019-09-30,Escambia,991
2019-09-30,Alachua,858
2019-09-30,Okaloosa,802
2019-09-30,Osceola,642
2019-09-30,Leon,649
2019-09-30,Santa Rosa,1060
2019-09-30,Clay,672
2019-09-30,Nassau,547
2019-09-30,Levy,791
2019-09-30,Gadsden,311
2019-09-30,Taylor,485
2019-09-30,Putnam,599
2019-09-30,Highlands,393
2019-09-30,Walton,447
2019-09-30,Jackson,262
2019-09-30,Dixie,408
2019-09-30,Sumter,301
2019-09-30,Hendry,238
2019-09-30,Flagler,204
2019-09-30,Columbia,319
2019-09-30,Monroe,213
2019-09-30,Gilchrist,365
2019-09-30,DeSoto,179
2019-09-30,Wakulla,248
2019-09-30,Suwannee,266
2019-09-30,Bradford,205
2019-09-30,Baker,249
2019-09-30,Okeechobee,156
2019-09-30,Franklin,139
2019-09-30,Jefferson,156
2019-09-30,Washington,144
2019-09-30,Madison,120
2019-09-30,Glades,85
2019-09-30,Hardee,83
2019-09-30,Holmes,78
2019-09-30,Gulf,99
2019-09-30,Calhoun,74
2019-09-30,Union,61
2019-09-30,Lafayette,65
2019-09-30,Liberty,67
2019-09-30,Hamilton,42
2019-12-31,Miami-Dade,73377
2019-12-31,Pinellas,53814
2019-12-31,Broward,51690
2019-12-31,Hillsborough,20322
2019-12-31,Palm Beach,20123
2019-12-31,Hernando,14006
2019-12-31,Pasco,14849
2019-12-31,Brevard,7957
2019-12-31,Manatee,5947
2019-12-31,Lee,7285
2019-12-31,Sarasota,4777
2019-12-31,Charlotte,3844
2019-12-31,Orange,2682
2019-12-31,Volusia,2790
2019-12-31,Saint Lucie,2749
2019-12-31,Citrus,3290
2019-12-31,Duval,1961
2019-12-31,Collier,2241
2019-12-31,Polk,2040
2019-12-31,Seminole,1008
2019-12-31,Osceola,1073
2019-12-31,Martin,1490
2019-12-31,Lake,2082
2019-12-31,Indian River,1552
2019-12-31,Bay,1722
2019-12-31,Saint Johns,1222
2019-12-31,Marion,1783
2019-12-31,Escambia,1132
2019-12-31,Alachua,898
2019-12-31,Okaloosa,838
2019-12-31,Clay,853
2019-12-31,Leon,687
2019-12-31,Santa Rosa,1134
2019-12-31,Levy,940
2019-12-31,Nassau,644
2019-12-31,Taylor,548
2019-12-31,Gadsden,327
2019-12-31,Flagler,342
2019-12-31,Putnam,657
2019-12-31,Highlands,421
2019-12-31,Walton,469
2019-12-31,Jackson,277
2019-12-31,Sumter,383
2019-12-31,Hendry,279
2019-12-31,Dixie,436
2019-12-31,Columbia,354
2019-12-31,Gilchrist,399
2019-12-31,Monroe,211
2019-12-31,Wakulla,317
2019-12-31,Suwannee,316
